data source,category,n_videos,perc_videos,n_channels,channels
topline,extremist,32,0.02440884820747521,21,
topline,alt-right,15,0.011441647597254004,7,Real McGoy | Nightmare Fuel | The Golden One | andy nowicki | Eli Harman | Arktos | Truth Against The World
topline,alternative,53,0.04042715484363082,41,
topline,alt-lite,18,0.013729977116704805,15,Lauren Chen | Liberty Hangout | Liberty Doll | No Bullshit | StevenCrowder | BlazeTV | MR. OBVIOUS | Proud Conservative | Rebel Media | The Thinkery | The Fallen State | Dr. Steve Turley | Lauren Southern | Demirep | Styxhexenhammer666
deep3,extremist,23,0.02137546468401487,14,
deep3,alt-right,14,0.013011152416356878,6,Nightmare Fuel | Real McGoy | Laura Towler | andy nowicki | Arktos | No White Guilt
deep3,alternative,219,0.20353159851301114,38,
deep3,alt-lite,30,0.027881040892193308,16,RobinHoodUKIP | Tree Of Logic | Sargon of Akkad Live | Paul Joseph Watson | Styxhexenhammer666 | No Bullshit | 6oodfella | BlazeTV | Sargon of Akkad | MR. OBVIOUS | Make Cringe Great Again | The Thinkery | The Fallen State | Tea Clips | DoctorRandomercam | Brian London
