search_term,youtube_channel_id,youtube_channel_name,youtube_channel_subs,youtube_channel_videos,youtube_channel_thumbnail,channel_url
kike,,,,,,
nazi,,,,,,
stormfront,,,,,,
goy,,,,,,
kkk,,,,,,
neo-confederate,,,,,,
holohoax,,,,,,
dindu,,,,,,
wetback,,,,,,
neo-nazi,,,,,,
nigger,,,,,,
it's okay to be white,UCk85otLk-ASsqPu0aXFGjzA,Say It Loud,109000,16,https://yt3.ggpht.com/ytc/AAUvwniwrI83Zr1ivDCKjB_YBL7T_7SPIOysOI9nfMD0=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCk85otLk-ASsqPu0aXFGjzA
it's okay to be white,UC194cPvPaGJjhJBEGwG6vxg,OK Go,988000,405,https://yt3.ggpht.com/a/AATXAJyqWnuDJUsXZpCxrVlS_A-ux-FbSyXyZ28XECJGng=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC194cPvPaGJjhJBEGwG6vxg
it's okay to be white,UC2wKfjlioOCLP4xQMOWNcgg,Typical Gamer,10500000,3368,https://yt3.ggpht.com/a/AATXAJz5xGxp36cZ6LFHLT5sg99Hh_GUkoSrH1K-OcMuCQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC2wKfjlioOCLP4xQMOWNcgg
it's okay to be white,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,28000000,159317,https://yt3.ggpht.com/ytc/AAUvwngdP3okXEWSNOV0jPGYSd7ulTVjYg3cJ3ENrvxU5w=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
it's okay to be white,UCH8NnRkxQg1zX7mHFRPq73g,So Yummy,8970000,364,https://yt3.ggpht.com/ytc/AAUvwnhHzX4hbjl6TXkB5X71yc1RqC5Hhjy_2WbSMg9m8g=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCH8NnRkxQg1zX7mHFRPq73g
it's okay to be white,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,9030000,890,https://yt3.ggpht.com/a/AATXAJysVyyxx2OmdS6S48RWNEvazS5AtWC4jwVCshdgLw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCYUQQgogVeQY8cMQamhHJcg
it's okay to be white,UChjRM_qQAaOAiLNbOGbYcRA,9to5Mac,625000,882,https://yt3.ggpht.com/ytc/AAUvwnisNASQY_fUczfuMjZgoGTj16g0IM-XLCXjo6UjIw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UChjRM_qQAaOAiLNbOGbYcRA
sonnenrad,UC9BCVegXvV1ZhB_Trk7vQlA,Tor Segelohrenbob,22400,526,https://yt3.ggpht.com/a/AATXAJxBkA_Tz8oTwc0_HQ-KmY6ysruAPuhjOiyO6T5Jqw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC9BCVegXvV1ZhB_Trk7vQlA
sonnenrad,UCqhl93STc-bvumB3jwxyMOw,David Chas,3310,132,https://yt3.ggpht.com/a/AATXAJxxpVSzIwHaiRyM8m0lrrMWNx07wAPQ_dthMp1A=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCqhl93STc-bvumB3jwxyMOw
white civil rights,UC0YvoAYGgdOfySQSLcxtu1w,Beau of the Fifth Column,481000,1058,https://yt3.ggpht.com/a/AATXAJyCHsgOl_1pY8X2vckiQEzwGCSuz1eJRqyu_wfC=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC0YvoAYGgdOfySQSLcxtu1w
white civil rights,UCXEiu2qv0sjRB9KuHjT6YUQ,StudentsForWesternCivilisation,28100,11,https://yt3.ggpht.com/a/AATXAJwpU9nrcBiKcb-z_7Mv6HkfaRZTf2FTod4gy5lF=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCXEiu2qv0sjRB9KuHjT6YUQ
white civil rights,UCrPq2ekHx2vZtuyG3wUx0_g,On the Shoulders of Giants,8180,305,https://yt3.ggpht.com/a/AATXAJyzvs2nzvZkbiQx7jNl0OfC73_-yAa4k73DHcs4fA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCrPq2ekHx2vZtuyG3wUx0_g
white civil rights,UCvlj0IzjSnNoduQF0l3VGng,Some More News,467000,102,https://yt3.ggpht.com/ytc/AAUvwnjdFuiLDB7VglWqCh1bS_rCVVVrpmCUM376bNy3=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCvlj0IzjSnNoduQF0l3VGng
white civil rights,UCqZ0bGtO6uEfQC5rcWVGOqw,Uncle Tom,42100,8,https://yt3.ggpht.com/a/AATXAJwAP8oTX81es1MTn6bndaM-X0uV1l_a1m225vxz=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCqZ0bGtO6uEfQC5rcWVGOqw
white civil rights,UCDdhTnCC7sgcxTu3cSkvmvQ,Lorri Jenkins,10000,57,https://yt3.ggpht.com/a/AATXAJzjDXM9hhKlDL_qQlGJcjRWJe4F9OY02bzuCDZpFQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCDdhTnCC7sgcxTu3cSkvmvQ
white civil rights,UCpa-Zb0ZcQjTCPP1Dx_1M8Q,LegalEagle,1360000,180,https://yt3.ggpht.com/ytc/AAUvwnihZRzSdz0fH70vmwqA3YM9tiV0QxWoB-DwmGg4=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCpa-Zb0ZcQjTCPP1Dx_1M8Q
white civil rights,UCLEUsDXXCaUyRmJHnK6Ph6w,Anokhi The One,1230,114,https://yt3.ggpht.com/a/AATXAJx2yqiNhzqh4C8Aaf6F8hr7VCfo04gSqLcfE01U4w=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCLEUsDXXCaUyRmJHnK6Ph6w
white civil rights,UCRAw2wDLvvNhS_lGrS8q6Tg,Joeypearsonmusic,5440,90,https://yt3.ggpht.com/a/AATXAJz_Vwz_zPZhEe1AUVjcu2kD3-uPehGKdgpHl6k9=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCRAw2wDLvvNhS_lGrS8q6Tg
white civil rights,UC8XjmAEDVZSCQjI150cb4QA,Knowing Better,598000,101,https://yt3.ggpht.com/a/AATXAJxUF97oHdqT9DejQ2j6yo7g2gYnUC45-YeTsW8MUg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC8XjmAEDVZSCQjI150cb4QA
white civil rights,UCLrVxw4H4ZJ3LovpdbzF7bw,The Fallen State,291000,943,https://yt3.ggpht.com/a/AATXAJyIN4Ih6OBq36qJnlMZXrLQ-ulGOPawLz_5ox1Zlw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCLrVxw4H4ZJ3LovpdbzF7bw
white civil rights,UCDC67jQQA6gs8jhSg94j_7Q,The Storytellers Project,2170,54,https://yt3.ggpht.com/ytc/AAUvwng5e_gV1-kxUGfGrgi2Ww1hmU-UEp_cEb8YB5pd1Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCDC67jQQA6gs8jhSg94j_7Q
white civil rights,UCZWlSUNDvCCS1hBiXV0zKcA,PragerU,2840000,1203,https://yt3.ggpht.com/a/AATXAJxfKTXAMYHpcr86doswtIq8ACykP94ynE5wX5BaPQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCZWlSUNDvCCS1hBiXV0zKcA
white civil rights,UCof2SqRl69hBJRL8pzwI3gQ,Jamel White,4640,145,https://yt3.ggpht.com/a/AATXAJwQJsONQLq80anBZGL0f3lokz3wN-3sZblbpyo0Qg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCof2SqRl69hBJRL8pzwI3gQ
white civil rights,UCKgJEs_v0JB-6jWb8lIy9Xw,BlazeTV,1280000,6095,https://yt3.ggpht.com/ytc/AAUvwnjHZyjNCP3SIzG2_28FQofgh3kGfmFFSUYY8pchYQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCKgJEs_v0JB-6jWb8lIy9Xw
white civil rights,UCc8G3ea_ycvua7ZpL6fp_dQ,NDLONvideos,1970,347,https://yt3.ggpht.com/a/AATXAJzb7cUKohcDTsMk-LYc8mXSgQvflQkMpEooe-ev=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCc8G3ea_ycvua7ZpL6fp_dQ
white civil rights,UCTHsQd-vRXK1bp4vpifl6yA,Trae Crowder,273000,157,https://yt3.ggpht.com/a/AATXAJwEEmpueCnW8JyMkqplP0hJPPiV4uhjOm48ninmWg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCTHsQd-vRXK1bp4vpifl6yA
white civil rights,UCiOuaW5hpY1gll3ZuwFGuSQ,Batman Theme by David Wadley,1370,65,https://yt3.ggpht.com/ytc/AAUvwnhIWR8m0Gk4JCNOpBNP0O_yKC5BAzrpVJRVD8bTww=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCiOuaW5hpY1gll3ZuwFGuSQ
white civil rights,UCCMT6ioHQ0S3m1fefQHfVjA,Good Patriot,84700,52,https://yt3.ggpht.com/ytc/AAUvwniKOLpnzIBDWO5ccJ0ZJ91oGHCe1LubVszUj6v8=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCCMT6ioHQ0S3m1fefQHfVjA
white civil rights,UCHpw8xwDNhU9gdohEcJu4aA,The Guardian,1480000,6885,https://yt3.ggpht.com/a/AATXAJxOMFxFtB6d10L-wMcSG_Dmm_M9XsduzshWkovwaF8=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCHpw8xwDNhU9gdohEcJu4aA
blood and soil,UCFaSbCpxCWDL4lynvtK1x6Q,Adventures Unlimited,6430,85,https://yt3.ggpht.com/ytc/AAUvwni5rh4BZMnSNZGUevtDvUlG22DthB7TMDbXZOuX=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCFaSbCpxCWDL4lynvtK1x6Q
blood and soil,UCb2GCoLSBXjmI_Qj1vk-44g,Amoeba Sisters,858000,105,https://yt3.ggpht.com/ytc/AAUvwngG_rS1EcCCT-L93mtpF_g4TUeadA53_yE8jBtpfA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCb2GCoLSBXjmI_Qj1vk-44g
blood and soil,UCenxjWEkb0Sv67vejOgZ3Tg,IntelligenceSquared Debates,162000,1088,https://yt3.ggpht.com/a/AATXAJx50xqNVwdRs9tyJahRPffdpkePis_mNRM9jOTXhw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCenxjWEkb0Sv67vejOgZ3Tg
blood and soil,UCirdyaerNrnnjp6xvjtL2gg,Pamela Rae Schuffert,2640,132,https://yt3.ggpht.com/ytc/AAUvwngdeMOx67ydQfwpsDQQJC4cnsyF_pD8uCfiphuff24=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCirdyaerNrnnjp6xvjtL2gg
blood and soil,UCM5iXoGRjNaDXtugXRimcMw,American Epic,930,5,https://yt3.ggpht.com/ytc/AAUvwngofAucnyjUOS0Nq01OORRs7fAbXWDM6OqJ3CWXdg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCM5iXoGRjNaDXtugXRimcMw
blood and soil,UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness,17900000,634,https://yt3.ggpht.com/a/AATXAJxz5C7zlQhZUqgO6yYpBSDInOVXs6dHqid0hMpP1Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg
blood and soil,UCjvgGbPPn-FgYeguc5nxG4A,Sourav Joshi Vlogs,1080000,390,https://yt3.ggpht.com/a/AATXAJx243bV_RcmIPu1vgdlBwSYrOvj1vLsElDZsgDc=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCjvgGbPPn-FgYeguc5nxG4A
blood and soil,UCir7Bn46PDpGpDR5absOiig,Bloodstockfestivals,130000,1037,https://yt3.ggpht.com/a/AATXAJz3KyyZ14TopECuHL7ZQU_USHpWHJhBxr2zluEDHw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCir7Bn46PDpGpDR5absOiig
blood and soil,UCxlJ45KjG4XVcQ_hd8j227A,Peekaboo Kidz,1260000,373,https://yt3.ggpht.com/a/AATXAJw1fq4twrYx46cvDo6Fj0P3qQMuGPqURTWDiGOTIg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCxlJ45KjG4XVcQ_hd8j227A
blood and soil,UCwve6PdikIhYTShmMxhNDOA,Gravity Productions,42300,80,https://yt3.ggpht.com/ytc/AAUvwnh7aWUym--TpfTH9k4lKHZrROwoizYVCyT4KFLk2Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCwve6PdikIhYTShmMxhNDOA
blood and soil,UCTZ35GQfSb0RsPdREhWZrtg,SLAM WORLDWIDE,239000,2850,https://yt3.ggpht.com/a/AATXAJyXVgEGhFiWlEV0K8O7FVDg7sedAohksecydpYLvg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCTZ35GQfSb0RsPdREhWZrtg
blood and soil,UC1G4uHQvdFh4NZtE8qqsXgg,Lola Gardenista & Her Bunch,1390,21,https://yt3.ggpht.com/a/AATXAJzzklhg9E4KPCzTy0gmAY15-a3RoQVoH6L1SKs=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC1G4uHQvdFh4NZtE8qqsXgg
blood and soil,UCJ3jIjXY8zKzdYDBuaBgiKQ,Шугайло Анатолий Васильевич,4980,17,https://yt3.ggpht.com/a/AATXAJxUBjqGzt8dwwaLk64GqMGwIQX5GxOfP4rDn66fhQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCJ3jIjXY8zKzdYDBuaBgiKQ
blood and soil,UC7_GyvwHQWruXTndYHy_Q3w,Vinnie Paz,312000,85,https://yt3.ggpht.com/a/AATXAJz8pe-5qSR8uogn27Df5eEfNQVm_LHbAv9X06QGNQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC7_GyvwHQWruXTndYHy_Q3w
blood and soil,UCrMOUfhkebizhXTnxELPWrg,The Kovariks,16000,46,https://yt3.ggpht.com/ytc/AAUvwngEPfSBxUolnDRDlGR0Z--wI_K0kSu1vx8kecu2=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCrMOUfhkebizhXTnxELPWrg
blood and soil,UC6YgvyGnc7HBvBEVAeDnsiw,Praxxus55712,,743,https://yt3.ggpht.com/ytc/AAUvwniv0w2U1C0P5jjns8GLagTSSEtOzUkZUAEiwsNI3Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC6YgvyGnc7HBvBEVAeDnsiw
blood and soil,UCFGmA4owCCCb-rn0DrkDypA,DAHBOO777,245000,2167,https://yt3.ggpht.com/a/AATXAJzoEwt_ztdUu9JZTFSrO5TQXVmynJmCTr4G_sl3tw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCFGmA4owCCCb-rn0DrkDypA
blood and soil,UCGzXtNdhjPxvCNWFme1bG0g,SerpaDesign,734000,232,https://yt3.ggpht.com/ytc/AAUvwnit5xc1cZ3g8qYFm4wqVXn40abc2S0anzPTSRyUKg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCGzXtNdhjPxvCNWFme1bG0g
blood and soil,UCjxBjHEX49I_PpgwdllJ8Og,PM Hobbycraft,38200,73,https://yt3.ggpht.com/a/AATXAJw0MWJR4EvX3OsClvjs4lzA7S_gJsC_0MLyQu_AwA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCjxBjHEX49I_PpgwdllJ8Og
blood and soil,UCPEkD3AfzDFG5C6DGA3T5ww,Pakistan Hydroponics,,179,https://yt3.ggpht.com/ytc/AAUvwnjDcHWbCr1V-mdhTr8rjeAjLY2-5i5taUc784H35g=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCPEkD3AfzDFG5C6DGA3T5ww
daily stormer,UCxqIi9_Ppu2k8VxMkbmefYw,RugbyVids,11200,58,https://yt3.ggpht.com/ytc/AAUvwniNy-EVvCuF3p-iwHolwIePBt8c_HkW__UuPywO=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCxqIi9_Ppu2k8VxMkbmefYw
traditionalist worker party,,,,,,
white lives matter,UCAiP2CUOwqZi6P1iAFIY3IQ,Charity Croff,47400,31,https://yt3.ggpht.com/a/AATXAJwvLrQoPfGY1ZBEOU9oPKpm-ru_CdV4U-24EhxE=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCAiP2CUOwqZi6P1iAFIY3IQ
white lives matter,UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,5040000,1130,https://yt3.ggpht.com/ytc/AAUvwnizPivUAmlumkcu-LkYn-T9FNcXbA6SWjHalTfpsw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCIveFvW-ARp_B_RckhweNJw
white lives matter,UCDmCBKaKOtOrEqgsL4-3C8Q,Blaire White,953000,170,https://yt3.ggpht.com/ytc/AAUvwniJBdIFgzGRcUDSh2wXmn4VwEw7hXjEpYhBMn7zFK0=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCDmCBKaKOtOrEqgsL4-3C8Q
white lives matter,UCKgJEs_v0JB-6jWb8lIy9Xw,BlazeTV,1280000,6095,https://yt3.ggpht.com/ytc/AAUvwnjHZyjNCP3SIzG2_28FQofgh3kGfmFFSUYY8pchYQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCKgJEs_v0JB-6jWb8lIy9Xw
