search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
no new jails,mV-B-G4uW3c,Rikers Island Closing To Make More Jails &amp; #AllWomanSpacewalk,1115,Watching the Hawks RT,www.youtube.com/watch/?v=mV-B-G4uW3c
no new jails,Luhx9JFgAUw,Seattle&#39;s &#39;Get out of Jail Free&#39; card? Jails not booking on warrants for several crimes,6387,KOMO News,www.youtube.com/watch/?v=Luhx9JFgAUw
civil rights,S64zRnnn4Po,Civil Rights and the 1950s: Crash Course US History #39,3112525,CrashCourse,www.youtube.com/watch/?v=S64zRnnn4Po
civil rights,kbwsF-A2sTg,Civil Rights &amp; Liberties: Crash Course Government #23,901190,CrashCourse,www.youtube.com/watch/?v=kbwsF-A2sTg
civil rights,URxwe6LPvkM,History of the Civil Rights Movement,962433,WatchMojo.com,www.youtube.com/watch/?v=URxwe6LPvkM
civil rights,4CgMxy4Arj8,Civil Rights in America Part 1 - Manny Man Does History,22896,John D Ruddy,www.youtube.com/watch/?v=4CgMxy4Arj8
civil rights,wrVWEKpnOQE,Top 10 American Civil Rights Activists,166712,WatchMojo.com,www.youtube.com/watch/?v=wrVWEKpnOQE
civil rights,8atXMqZ_w0M,The fight for civil rights and freedom | John Lewis and Bryan Stevenson,221301,TED,www.youtube.com/watch/?v=8atXMqZ_w0M
civil rights,WKEGou1zPII,Civil Rights Act of 1964 | Montgomery Bus Boycott for Kids | Rosa Parks and Martin Luther King,277831,Kids Academy,www.youtube.com/watch/?v=WKEGou1zPII
civil rights,CBm48Scju9E,"Rare Video Footage of Historic Alabama 1965 Civil Rights Marches, MLK&#39;s Famous Montgomery Speech",316651,Democracy Now!,www.youtube.com/watch/?v=CBm48Scju9E
civil rights,loI96F57G9g,Civil Rights and Civil Liberties (AP US Government and Politics),18418,Tom Richey,www.youtube.com/watch/?v=loI96F57G9g
civil rights,y5l6j_pkAn4,Protests and the Civil Rights Movement | History,27133,HISTORY,www.youtube.com/watch/?v=y5l6j_pkAn4
civil rights,uKXIvfQnYEY,Civil Rights Under Trump | Patriot Act with Hasan Minhaj | Netflix,2041349,Netflix Is A Joke,www.youtube.com/watch/?v=uKXIvfQnYEY
civil rights,7BEhKgoA86U,President John F. Kennedy&#39;s Civil Rights Address,444361,C-SPAN,www.youtube.com/watch/?v=7BEhKgoA86U
civil rights,NJcUnXTaCgU,An unsung hero of the civil rights movement - Christina Greer,179194,TED-Ed,www.youtube.com/watch/?v=NJcUnXTaCgU
civil rights,GA0DMNmTQ4g,Drunk History - Key Moments in the Civil Rights Movement,173826,Comedy Central,www.youtube.com/watch/?v=GA0DMNmTQ4g
civil rights,Nl94eZWrkC8,Civil Rights Heroes for Kids,47756,Homeschool Pop,www.youtube.com/watch/?v=Nl94eZWrkC8
civil rights,6x0l_vkjozc,The Civil Rights Act Of 1964 Explained | This Day Forward | msnbc,130038,MSNBC,www.youtube.com/watch/?v=6x0l_vkjozc
civil rights,U9ACS4PgDFA,"Racism, School Desegregation Laws and the Civil Rights Movement in the United States",788807,The Film Archives,www.youtube.com/watch/?v=U9ACS4PgDFA
civil rights,ggUt0gJh9U8,Alabama City Remembered as Climactic Battle of Civil Rights Movement,302467,VOA News,www.youtube.com/watch/?v=ggUt0gJh9U8
civil rights,bsT3O7eEiT4,Civil Rights vs Human Rights | Dr. Myles Munroe,28818,Munroe Global,www.youtube.com/watch/?v=bsT3O7eEiT4
civil rights,2xsbt3a7K-8,"MLK Talks &#39;New Phase&#39; Of Civil Rights Struggle, 11 Months Before His Assassination | NBC News",1058797,NBC News,www.youtube.com/watch/?v=2xsbt3a7K-8
bipoc,Cbei6pvOuUk,BIPOC Explained - Why was it created?,32920,tonetalks,www.youtube.com/watch/?v=Cbei6pvOuUk
bipoc,F2p1HKPmCns,"Let&#39;s Talk About &quot;BIPOC&quot; (Black, Indigenous, People of Color)",541,Pacific Lutheran University,www.youtube.com/watch/?v=F2p1HKPmCns
bipoc,tI85nBxDNkc,Should we be using the term BIPOC?,589,Kiera Breaugh,www.youtube.com/watch/?v=tI85nBxDNkc
bipoc,W_xlagTG-Os,Understanding BIPOC,1002,Claudia Alick,www.youtube.com/watch/?v=W_xlagTG-Os
